Id_people,Predicted Bin,Real Bin,Modality,Exposures
3,6,2,Auditory,E1
3,5,2,Auditory,E1
3,5,5,Auditory,E1
3,5,3,Auditory,E1
3,6,1,Auditory,E1
3,5,6,Auditory,E1
3,6,6,Auditory,E1
3,6,6,Auditory,E1
3,6,4,Auditory,E1
3,3,1,Auditory,E1
3,6,1,Auditory,E1
3,2,6,Auditory,E1
3,5,5,Auditory,E1
3,5,1,Auditory,E1
3,5,6,Auditory,E1
3,5,6,Auditory,E1
3,4,5,Auditory,E1
3,5,5,Auditory,E1
3,6,6,Auditory,E1
3,5,5,Auditory,E1
3,1,3,Auditory,E1
3,6,4,Auditory,E1
3,5,6,Auditory,E1
3,6,5,Auditory,E1
3,5,4,Auditory,E1
3,1,2,Auditory,E1
3,4,6,Auditory,E1
3,4,1,Auditory,E1
3,5,6,Auditory,E1
3,3,4,Auditory,E1
3,2,1,Auditory,E1
3,5,3,Auditory,E1
3,5,5,Auditory,E1
3,5,2,Auditory,E1
3,5,1,Auditory,E1
3,6,4,Auditory,E1
3,1,3,Auditory,E1
3,3,3,Auditory,E1
3,5,3,Auditory,E1
3,4,5,Auditory,E1
3,1,1,Auditory,E1
3,4,3,Auditory,E1
3,2,4,Auditory,E1
3,1,3,Auditory,E1
3,1,2,Auditory,E1
3,6,4,Auditory,E1
3,4,2,Auditory,E1
3,5,2,Auditory,E1
3,2,5,Auditory,E1
3,5,5,Auditory,E1
3,2,1,Auditory,E1
3,1,2,Auditory,E1
3,5,6,Auditory,E1
3,1,1,Auditory,E1
3,1,6,Auditory,E1
3,1,4,Auditory,E1
3,1,4,Auditory,E1
3,5,3,Auditory,E1
3,1,4,Auditory,E1
3,5,4,Auditory,E1
3,4,3,Auditory,E1
3,3,3,Auditory,E1
3,6,5,Auditory,E1
3,2,3,Auditory,E1
3,1,2,Auditory,E1
3,6,2,Auditory,E1
3,5,4,Auditory,E1
3,1,3,Auditory,E1
3,5,4,Auditory,E1
3,4,6,Auditory,E1
3,5,5,Auditory,E1
3,6,3,Auditory,E1
3,6,4,Auditory,E1
3,3,3,Auditory,E1
3,5,1,Auditory,E1
3,5,1,Auditory,E1
3,6,5,Auditory,E1
3,1,5,Auditory,E1
3,1,2,Auditory,E1
3,5,4,Auditory,E1
3,3,3,Auditory,E1
3,3,6,Auditory,E1
3,3,3,Auditory,E1
3,3,3,Auditory,E1
